ID,UserSeq,Date,Instrument,Type,Side,Amount,Position,Price,Mark Price,Index Price,Cash Flow,Funding,Fee Rate,Fee Charged,Fee Balance,Change,Balance,Equity,Trade ID,Order ID,Info
251926909,1648779744443338,01 Apr 2022 02:22:24,ETH-PERPETUAL,trade,open buy,56,728,3236.5,3236.2,3235.83,0,0,0,0,0,0,1.78012642,1.86533026,ETH-121339953,ETH-22054696914,Source: 'api:DCX'
251920330,1648778085827521,01 Apr 2022 01:54:45,ETH-PERPETUAL,trade,open buy,56,672,3253.5,3259.86,3260.14,0,-0.00000561,0,0,0,0,1.78012642,1.85093088,ETH-121336810,ETH-22043067792,Source: 'api:DCX'
251863115,1648745994283337,31 Mar 2022 16:59:54,ETH-PERPETUAL,trade,open buy,56,616,3270.5,3270.52,3268.98,0,-4.7e-7,0,0,0,0,1.78012642,1.84896576,ETH-121309361,ETH-22041881167,Source: 'api:DCX'
251852353,1648744275576379,31 Mar 2022 16:31:15,ETH-PERPETUAL,trade,open buy,56,560,3287.5,3289.88,3289.32,0,0,0,0,0,0,1.78012642,1.83960934,ETH-121304318,ETH-22041641947,Source: 'api:DCX'
251848266,1648744028087445,31 Mar 2022 16:27:08,ETH-PERPETUAL,trade,open buy,56,504,3304.5,3304.38,3304.4,0,-9e-8,0,0,0,0,1.78012642,1.8304744,ETH-121302336,ETH-22040862968,Source: 'api:DCX'
251839443,1648742846849531,31 Mar 2022 16:07:26,ETH-PERPETUAL,trade,open buy,56,448,3321.5,3322.32,3321.9,0,0,0,0,0,0,1.78012642,1.82161896,ETH-121298092,ETH-22040754079,Source: 'api:DCX'
251837181,1648742718947441,31 Mar 2022 16:05:18,ETH-PERPETUAL,trade,open buy,56,392,3338.5,3339.22,3338.9,0,-4.9e-7,0,0,0,0,1.78012642,1.81250913,ETH-121296991,ETH-22037158275,Source: 'api:DCX'
251813279,1648735402800416,31 Mar 2022 14:03:22,ETH-PERPETUAL,trade,open buy,56,336,3355.5,3358.57,3357.83,0,0,0,0,0,0,1.78012642,1.80473965,ETH-121285583,ETH-22037003847,Source: 'api:DCX'
251809182,1648735244832458,31 Mar 2022 14:00:44,ETH-PERPETUAL,trade,open buy,56,280,3372.5,3372.82,3372.94,0,0,0,0,0,0,1.78012642,1.79450437,ETH-121283602,ETH-22036875431,Source: 'api:DCX'
251807551,1648735034239249,31 Mar 2022 13:57:14,ETH-PERPETUAL,trade,open buy,56,224,3389.5,3389.49,3389.42,0,0,0,0,0,0,1.78012642,1.78802505,ETH-121282826,ETH-22035909490,Source: 'api:DCX'
251801263,1648732729589455,31 Mar 2022 13:18:49,ETH-PERPETUAL,trade,open buy,56,168,3406.5,3407.22,3406.32,0,0,0,0,0,0,1.78012642,1.77854894,ETH-121279795,ETH-22035700504,Source: 'api:DCX'
251799681,1648732271906365,31 Mar 2022 13:11:11,ETH-PERPETUAL,trade,open buy,56,112,3423.5,3427.7,3427.24,0,0,0,0,0,0,1.78012642,1.76777923,ETH-121279038,ETH-22034730293,Source: 'api:DCX'
251794255,1648730109920972,31 Mar 2022 12:35:09,ETH-PERPETUAL,trade,open buy,56,56,3440.5,3440.78,3439.56,0,0,0,0,0,0,1.78012642,1.76226474,ETH-121276408,ETH-22034720200,Source: 'api:DCX'
251794131,1648730094462938,31 Mar 2022 12:34:54,ETH-PERPETUAL,trade,close sell,224,0,3440.3,3440.65,3439.52,0.0006837,-3e-8,0,0,0,0,1.78012642,1.76236277,ETH-121276345,ETH-22011685927,Source: 'api:DCX'
251768472,1648713602537536,31 Mar 2022 08:00:00,ETH-PERPETUAL,settlement,long,224,224,3404.55,0,0,0.00080385,-4e-8,-,0,0,0.00080385,1.78012642,1.78012596,,,
251766776,1648713602511142,31 Mar 2022 08:00:00,ETH-24JUN22,settlement,short,-6024,-6024,3445.42,0,0,0.00325183,0,-,0,0,0.00325183,1.77932257,1.78012596,,,
251715117,1648666906899876,30 Mar 2022 19:01:46,ETH-PERPETUAL,trade,open buy,56,224,3381,3384.74,3384.61,0,0,0,0,0,0,1.77607074,1.78952893,ETH-121239807,ETH-22011532827,Source: 'api:DCX'
251713839,1648666736808965,30 Mar 2022 18:58:56,ETH-PERPETUAL,trade,open buy,56,168,3398,3398.57,3398.25,0,0,0,0,0,0,1.77607074,1.78241007,ETH-121239137,ETH-22010797015,Source: 'api:DCX'
251710739,1648665670478975,30 Mar 2022 18:41:10,ETH-PERPETUAL,trade,open buy,56,112,3415,3415.5,3414.9,0,-1e-8,0,0,0,0,1.77607074,1.77416848,ETH-121237648,ETH-22008677573,Source: 'api:DCX'
251702472,1648662717028072,30 Mar 2022 17:51:57,ETH-PERPETUAL,trade,open buy,56,56,3432.4,3432.68,3431.78,0,0,0,0,0,0,1.77607074,1.76561177,ETH-121233668,ETH-22008663036,Source: 'api:DCX'
251702352,1648662691488903,30 Mar 2022 17:51:31,ETH-PERPETUAL,trade,close sell,207,0,3432.7,3432.8,3431.82,0.00038915,0,0,0,0,0,1.77607074,1.76557052,ETH-121233614,ETH-21977903900,Source: 'api:DCX'
251702350,1648662691488902,30 Mar 2022 17:51:31,ETH-PERPETUAL,trade,close sell,200,207,3432.7,3432.8,3431.82,0.00037599,0,0,0,0,0,1.77607074,1.76557052,ETH-121233613,ETH-21977903900,Source: 'api:DCX'
251702346,1648662691486936,30 Mar 2022 17:51:31,ETH-PERPETUAL,trade,close sell,41,407,3432.7,3432.8,3431.82,0.00007708,-7.9e-7,0,0,0,0,1.77607074,1.76557052,ETH-121233612,ETH-21977903900,Source: 'api:DCX'
251638277,1648627202446166,30 Mar 2022 08:00:00,ETH-PERPETUAL,settlement,long,448,448,3410.69,0,0,0.00123354,-1e-8,-,0,0,0.00123354,1.7871418,1.77607074,,,
251636656,1648627202576215,30 Mar 2022 08:00:00,ETH-24JUN22,settlement,short,-6024,-6024,3451.84,0,0,-0.01107105,0,-,0,0,-0.01107105,1.77607074,1.77607074,,,
251604495,1648604595084998,30 Mar 2022 01:43:15,ETH-PERPETUAL,trade,open buy,56,448,3338.5,3339.48,3339.52,0,0,0,0,0,0,1.78590826,1.81049928,ETH-121188301,ETH-21973549051,Source: 'api:DCX'
251582470,1648593205951989,29 Mar 2022 22:33:25,ETH-PERPETUAL,trade,open buy,56,392,3356,3356.74,3357.89,0,1e-8,0,0,0,0,1.78590826,1.80064378,ETH-121177709,ETH-21964360770,Source: 'api:DCX'
251535814,1648570441297451,29 Mar 2022 16:14:01,ETH-PERPETUAL,trade,open buy,56,336,3373.5,3374.97,3375.99,0,0,0,0,0,0,1.78590826,1.79148755,ETH-121155284,ETH-21963921514,Source: 'api:DCX'
251531945,1648569813394377,29 Mar 2022 16:03:33,ETH-PERPETUAL,trade,open buy,56,280,3391,3391.49,3392.27,0,1e-8,0,0,0,0,1.78590826,1.78423143,ETH-121153416,ETH-21963281082,Source: 'api:DCX'
251525146,1648568839541966,29 Mar 2022 15:47:19,ETH-PERPETUAL,trade,open buy,56,224,3408.5,3408.9,3411.06,0,7e-8,0,0,0,0,1.78590826,1.77485424,ETH-121150136,ETH-21960276722,Source: 'api:DCX'
251508183,1648561801603905,29 Mar 2022 13:50:01,ETH-PERPETUAL,trade,open buy,56,168,3426,3427.94,3428.85,0,0,0,0,0,0,1.78590826,1.76614583,ETH-121142005,ETH-21959967593,Source: 'api:DCX'
251504701,1648561327234019,29 Mar 2022 13:42:07,ETH-PERPETUAL,trade,open buy,56,112,3443.5,3445.21,3446.46,0,0,0,0,0,0,1.78590826,1.75697164,ETH-121140320,ETH-21956798384,Source: 'api:DCX'
251485373,1648554605442058,29 Mar 2022 11:50:05,ETH-PERPETUAL,trade,open buy,56,56,3460.9,3461.44,3463.1,0,0,0,0,0,0,1.78590826,1.74777163,ETH-121131031,ETH-21956761525,Source: 'api:DCX'
251484319,1648554559143079,29 Mar 2022 11:49:19,ETH-PERPETUAL,trade,close sell,112,0,3463.2,3460.36,3461.03,0.00032275,0,0,0,0,0,1.78590826,1.75024985,ETH-121130535,ETH-21954703183,Source: 'api:DCX'
251472968,1648549048211026,29 Mar 2022 10:17:28,ETH-PERPETUAL,trade,open buy,56,112,3420.5,3422.99,3423.47,0,0,0,0,0,0,1.78590826,1.76802937,ETH-121125104,ETH-21953282972,Source: 'api:DCX'
251467297,1648545403088969,29 Mar 2022 09:16:43,ETH-PERPETUAL,trade,open buy,56,56,3437.5,3437.85,3438.46,0,0,0,0,0,0,1.78590826,1.76004802,ETH-121122400,ETH-21953272022,Source: 'api:DCX'
251466124,1648545386265990,29 Mar 2022 09:16:26,ETH-PERPETUAL,trade,close sell,112,0,3434.9,3432.49,3433.63,0.00046924,0,0,0,0,0,1.78590826,1.76527323,ETH-121121845,ETH-21951399554,Source: 'api:DCX'
251456975,1648540802403082,29 Mar 2022 08:00:00,ETH-PERPETUAL,settlement,long,112,112,3386.17,0,0,0.00219555,3e-8,-,0,0,0.00219555,1.82037971,1.78590826,,,
251455376,1648540802424113,29 Mar 2022 08:00:00,ETH-24JUN22,settlement,short,-6024,-6024,3430.08,0,0,-0.03447145,0,-,0,0,-0.03447145,1.78590826,1.78590826,,,
251453180,1648540169952930,29 Mar 2022 07:49:29,ETH-PERPETUAL,trade,open buy,56,112,3392.5,3392.61,3394.27,0,1e-8,0,0,0,0,1.81818416,1.78302169,ETH-121117163,ETH-21948779252,Source: 'api:DCX'
251440210,1648532710570908,29 Mar 2022 05:45:10,ETH-PERPETUAL,trade,open buy,56,56,3409.5,3410.44,3409.67,0,0,0,0,0,0,1.81818416,1.77430851,ETH-121110940,ETH-21948777605,Source: 'api:DCX'
251439670,1648532701463760,29 Mar 2022 05:45:01,ETH-PERPETUAL,trade,close sell,392,0,3408.7,3404.93,3404.64,0.00113306,1e-8,0,0,0,0,1.81818416,1.77851723,ETH-121110625,ETH-21941638310,Source: 'api:DCX'
251403448,1648511614274437,28 Mar 2022 23:53:34,ETH-PERPETUAL,trade,open buy,56,392,3325,3329.43,3329.94,0,0,0,0,0,0,1.81818416,1.81158985,ETH-121093278,ETH-21940819321,Source: 'api:DCX'
251398057,1648509636231536,28 Mar 2022 23:20:36,ETH-PERPETUAL,trade,open buy,56,336,3342,3342.21,3342.66,0,0,0,0,0,0,1.81818416,1.80711896,ETH-121090652,ETH-21940680180,Source: 'api:DCX'
251396102,1648509434381936,28 Mar 2022 23:17:14,ETH-PERPETUAL,trade,open buy,56,280,3359,3358.5,3359.13,0,0,0,0,0,0,1.81818416,1.79792845,ETH-121089709,ETH-21938364894,Source: 'api:DCX'
251384295,1648503511693892,28 Mar 2022 21:38:31,ETH-PERPETUAL,trade,open buy,56,224,3376,3376.01,3376.95,0,0,0,0,0,0,1.81818416,1.79031867,ETH-121084022,ETH-21938159508,Source: 'api:DCX'
251382711,1648502753387364,28 Mar 2022 21:25:53,ETH-PERPETUAL,trade,open buy,56,168,3393,3394.19,3394.91,0,4e-8,0,0,0,0,1.81818416,1.78100896,ETH-121083275,ETH-21936367296,Source: 'api:DCX'
251373053,1648497050534974,28 Mar 2022 19:50:50,ETH-PERPETUAL,trade,open buy,56,112,3410,3409.66,3411.32,0,2e-8,0,0,0,0,1.81818416,1.77427644,ETH-121078660,ETH-21935706988,Source: 'api:DCX'
